电影名字,别名,电影链接,导演,主演,年份,国家,类型,评分,星级,评价人数,评论
冰川时代,Ice Age,https://movie.douban.com/subject/1291578/,卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge,无,2002,美国,喜剧动画冒险,8.6,4.0,604831,松鼠才是角儿。
东邪西毒,東邪西毒,https://movie.douban.com/subject/1292328/,王家卫KarWaiWong,张国荣LeslieCheung,1994,中国香港中国台湾,剧情动作爱情武侠古装,8.6,4.0,570403,电影诗。
心灵奇旅,Soul,https://movie.douban.com/subject/24733428/,彼特·道格特PeteDocter/凯普·鲍尔斯KempPowers,杰米·,2020,美国,动画奇幻音乐,8.7,4.0,963158,无
恐怖游轮,Triangle,https://movie.douban.com/subject/3011051/,克里斯托弗·史密斯ChristopherSmith,梅利莎·乔治Melissa,2009,英国澳大利亚,剧情悬疑惊悚,8.5,4.0,848453,不要企图在重复中寻找已经失去的爱。
牯岭街少年杀人事件,牯嶺街少年殺人事件,https://movie.douban.com/subject/1292329/,杨德昌EdwardYang,张震ChenChang,1991,中国台湾,剧情犯罪,8.9,4.0,294240,弱者送给弱者的一刀。
遗愿清单,The Bucket List,https://movie.douban.com/subject/1867345/,罗伯·莱纳RobReiner,杰克·尼科尔森JackNicholson,2007,美国,冒险喜剧剧情,8.7,4.0,453114,用剩余不多的时间，去燃烧整个生命。
魔女宅急便,魔女の宅急便,https://movie.douban.com/subject/1307811/,宫崎骏HayaoMiyazaki,高山南MinamiTakayama,1989,日本,动画奇幻冒险,8.7,4.0,452847,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
真爱至上,Love Actually,https://movie.douban.com/subject/1292401/,理查德·柯蒂斯RichardCurtis,休·格兰特HughGrant,2003,英国美国法国,喜剧剧情爱情,8.6,4.0,724984,爱，是个动词。
你看起来好像很好吃,おまえうまそうだな,https://movie.douban.com/subject/4848115/,藤森雅也MasayaFujimori,山口胜平KappeiYamaguchi,2010,日本,剧情动画儿童,8.9,4.0,328945,感情不分食草或者食肉。
东京教父,東京ゴッドファーザーズ,https://movie.douban.com/subject/1310177/,今敏SatoshiKon,江守彻ToruEmori,2003,日本,剧情喜剧动画,9.0,4.5,224936,无
大佛普拉斯,The Great Buddha+,https://movie.douban.com/subject/27059130/,黄信尧Hsin-yaoHuang,庄益增YizengZhuang,2017,中国台湾,剧情喜剧,8.7,4.0,447249,人们可以登上月球，却永远无法探索人们内心的宇宙。
黑天鹅,Black Swan,https://movie.douban.com/subject/1978709/,达伦·阿罗诺夫斯基DarrenAronofsky,娜塔莉·波特曼Natalie,2010,美国,剧情惊悚,8.6,4.0,772078,黑暗之美。
可可西里,Kekexili: Mountain Patrol,https://movie.douban.com/subject/1308857/,陆川ChuanLu,多布杰Duobujie,2004,中国大陆中国香港,剧情犯罪,8.9,4.0,299357,坚硬的信仰。
城市之光,City Lights,https://movie.douban.com/subject/1293908/,CharlesChaplin,查理·卓别林CharlesChaplin,1931,美国,喜剧剧情爱情,9.3,4.5,143746,永远的小人物，伟大的卓别林。
源代码,Source Code,https://movie.douban.com/subject/3075287/,邓肯·琼斯DuncanJones,杰克·吉伦哈尔JakeGyllenhaal,2011,美国加拿大,科幻悬疑惊悚,8.5,4.0,824597,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
雨人,Rain Man,https://movie.douban.com/subject/1291870/,巴瑞·莱文森BarryLevinson,达斯汀·霍夫曼DustinHoffman,1988,美国,剧情,8.7,4.0,399040,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
恋恋笔记本,The Notebook,https://movie.douban.com/subject/1309163/,尼克·卡索维茨NickCassavetes,瑞恩·高斯林RyanGosling,2004,美国,剧情爱情,8.5,4.0,661417,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
海边的曼彻斯特,Manchester by the Sea,https://movie.douban.com/subject/25980443/,肯尼斯·罗纳根KennethLonergan,卡西·阿弗莱克CaseyAffle,2016,美国,剧情家庭,8.6,4.0,527298,我们都有权利不与自己的过去和解。
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,https://movie.douban.com/subject/4739952/,普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...+2010/泰国/剧情喜剧爱情,无,2010,泰国,剧情喜剧爱情,8.5,4.0,971695,黑小鸭速效美白记。
人工智能,Artificial Intelligence: AI,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格StevenSpielberg,海利·乔·奥斯蒙Haley,2001,美国英国,剧情科幻,8.7,4.0,439347,对爱的执着，可以超越一切。
波西米亚狂想曲,Bohemian Rhapsody,https://movie.douban.com/subject/5300054/,布莱恩·辛格BryanSinger,拉米·马雷克RamiMalek,2018,英国美国,剧情传记同性音乐,8.6,4.0,595059,无
虎口脱险,La grande vadrouille,https://movie.douban.com/subject/1296909/,杰拉尔·乌里GérardOury,路易·德·菲耐斯LouisdeFunès,1966,法国英国,喜剧战争,8.9,4.0,253126,永远看不腻的喜剧。
青蛇,Green Snake,https://movie.douban.com/subject/1303394/,徐克HarkTsui,张曼玉MaggieCheung,1993,中国香港中国大陆,剧情爱情奇幻古装,8.6,4.0,518815,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
终结者2：审判日,Terminator 2: Judgment Day,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆JamesCameron,阿诺·施瓦辛格ArnoldSchwarz,1991,美国法国,动作科幻,8.8,4.0,337467,少见的超越首部的续集，动作片中的经典。
罗生门,羅生門,https://movie.douban.com/subject/1291879/,黑泽明AkiraKurosawa,三船敏郎ToshirôMifune,1950,日本,剧情犯罪悬疑,8.8,4.0,309894,人生的N种可能性。
疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,https://movie.douban.com/subject/3592854/,乔治·米勒GeorgeMiller,汤姆·哈迪TomHardy,2015,澳大利亚美国,动作科幻冒险,8.7,4.0,521704,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
萤火虫之墓,火垂るの墓,https://movie.douban.com/subject/1293318/,高畑勋IsaoTakahata,辰己努,1988,日本,动画剧情战争,8.7,4.0,401069,幸福是生生不息，却难以触及的远。 
新龙门客栈,新龍門客棧,https://movie.douban.com/subject/1292287/,李惠民RaymondLee,张曼玉MaggieCheung,1992,中国香港中国大陆,动作爱情武侠古装,8.7,4.0,437757,嬉笑怒骂，调风动月。
千钧一发,Gattaca,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔AndrewNiccol,伊桑·霍克EthanHawke,1997,美国,剧情科幻惊悚,8.8,4.0,292885,一部能引人思考的科幻励志片。
无耻混蛋,Inglourious Basterds,https://movie.douban.com/subject/1438652/,昆汀·塔伦蒂诺QuentinTarantino,布拉德·皮特BradPitt,2009,德国美国,剧情犯罪,8.6,4.0,469754,昆汀同学越来越变态了，比北野武还杜琪峰。
崖上的波妞,崖の上のポニョ,https://movie.douban.com/subject/1959877/,宫崎骏HayaoMiyazaki,奈良柚莉爱YuriaNara,2008,日本,动画奇幻冒险,8.6,4.0,487621,无
末路狂花,Thelma & Louise,https://movie.douban.com/subject/1291992/,雷德利·斯科特RidleyScott,吉娜·戴维斯GeenaDavis,1991,美国英国法国,犯罪剧情惊悚,8.9,4.0,248055,没有了退路，只好飞向自由。
奇迹男孩,Wonder,https://movie.douban.com/subject/26787574/,斯蒂芬·卓博斯基StephenChbosky,雅各布·特伦布莱JacobTr,2017,美国中国香港,剧情儿童家庭,8.6,4.0,545739,世界不完美，爱会有奇迹。
彗星来的那一夜,Coherence,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特JamesWardByrkit,艾米丽·芭尔多尼Em,2013,美国英国,科幻悬疑惊悚,8.6,4.0,569153,小成本大魅力。
二十二,Twenty Two,https://movie.douban.com/subject/26430107/,郭柯KeGuo,+2015,2015,中国大陆,纪录片,8.7,4.0,288742,有一些东西不应该被遗忘。
黑客帝国2：重装上阵,The Matrix Reloaded,https://movie.douban.com/subject/1304141/,拉娜·沃卓斯基LanaWachowski/莉莉·沃卓斯基LillyWachowski...+2003/美国/动作科幻,无,2003,美国,动作科幻,8.7,4.0,400994,一个精彩的世界观正在缓缓建立。
花束般的恋爱,花束みたいな恋をした,https://movie.douban.com/subject/34874432/,土井裕泰NobuhiroDoi,菅田将晖MasakiSuda,2021,日本,剧情爱情,8.6,4.0,602608,无
爱乐之城,La La Land,https://movie.douban.com/subject/25934014/,达米恩·查泽雷DamienChazelle,瑞恩·高斯林RyanGosling,2016,美国,剧情爱情歌舞,8.4,4.0,880748,无
血钻,Blood Diamond,https://movie.douban.com/subject/1428175/,爱德华·兹威克EdwardZwick,莱昂纳多·迪卡普里奥Leonardo,2006,美国德国英国,剧情惊悚冒险,8.7,4.0,374922,每个美丽事物背后都是滴血的现实。
房间,Room,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森LennyAbrahamson,布丽·拉尔森BrieLarson,2015,爱尔兰加拿大英国美国,剧情家庭,8.8,4.0,364639,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
战争之王,Lord of War,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔AndrewNiccol,尼古拉斯·凯奇NicolasCage,2005,法国德国美国,剧情犯罪,8.7,4.0,363383,做一颗让别人需要你的棋子。
步履不停,歩いても 歩いても,https://movie.douban.com/subject/2222996/,是枝裕和HirokazuKoreeda,阿部宽HiroshiAbe,2008,日本,剧情家庭,8.8,4.0,275519,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
魂断蓝桥,Waterloo Bridge,https://movie.douban.com/subject/1293964/,茂文·勒鲁瓦MervynLeRoy,费雯·丽VivienLeigh,1940,美国,剧情爱情战争,8.8,4.0,274767,中国式内在的美国电影。
芙蓉镇,Hibiscus Town,https://movie.douban.com/subject/1297880/,谢晋JinXie,刘晓庆XiaoqingLiu,1987,中国大陆,剧情爱情,9.3,4.5,132240,无
火星救援,The Martian,https://movie.douban.com/subject/25864085/,雷德利·斯科特RidleyScott,马特·达蒙MattDamon,2015,英国美国匈牙利约旦,剧情科幻冒险,8.5,4.0,715709,无
哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,https://movie.douban.com/subject/2051007/,大卫·叶茨DavidYates,丹尼尔·雷德克里夫DanielRadcliffe,2010,英国美国,奇幻冒险,8.5,4.0,562646,最忠于原著的一部。
千年女优,千年女優,https://movie.douban.com/subject/1307394/,今敏SatoshiKon,庄司美代子MiyokoShôji,2001,日本,动画剧情爱情,8.8,4.0,261938,爱情是一场没有尽头的虚幻追逐。
谍影重重2,The Bourne Supremacy,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯PaulGreengrass,马特·达蒙MattDamon,2004,美国德国,动作悬疑惊悚,8.7,4.0,347313,谁说王家卫镜头很晃？
阿飞正传,阿飛正傳,https://movie.douban.com/subject/1305690/,王家卫KarWaiWong,张国荣LeslieCheung,1990,中国香港,犯罪剧情爱情,8.5,4.0,504475,王家卫是一种风格，张国荣是一个代表。
弱点,The Blind Side,https://movie.douban.com/subject/3552028/,约翰·李·汉考克JohnLeeHancock,桑德拉·布洛克SandraBu,2009,美国,剧情家庭传记运动,8.7,4.0,302338,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
燃情岁月,Legends of the Fall,https://movie.douban.com/subject/1295865/,爱德华·兹威克EdwardZwick,布拉德·皮特BradPitt,1994,美国,剧情爱情战争西部,8.8,4.0,282923,传奇，不是每个人都可以拥有。
谍影重重,The Bourne Identity,https://movie.douban.com/subject/1304102/,道格·里曼DougLiman,马特·达蒙MattDamon,2002,美国德国捷克,动作悬疑惊悚,8.6,4.0,419646,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
朗读者,The Reader,https://movie.douban.com/subject/2213597/,史蒂芬·戴德利StephenDaldry,凯特·温丝莱特KateWinslet,2008,美国德国,剧情爱情,8.6,4.0,449350,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
再次出发之纽约遇见你,Begin Again,https://movie.douban.com/subject/6874403/,约翰·卡尼JohnCarney,凯拉·奈特莉KeiraKnightley,2013,美国,喜剧爱情音乐,8.6,4.0,421885,爱我就给我看你的播放列表。
哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,https://movie.douban.com/subject/1457217/,大卫·叶茨DavidYates,丹尼尔·雷德克里夫DanielRadcliffe,2007,英国美国,奇幻冒险,8.5,4.0,555141,无
白日梦想家,The Secret Life of Walter Mitty,https://movie.douban.com/subject/2133323/,本·斯蒂勒BenStiller,本·斯蒂勒BenStiller,2013,美国英国,剧情喜剧冒险,8.6,4.0,460857,无
香水,Perfume: The Story of a Murderer,https://movie.douban.com/subject/1760622/,汤姆·提克威TomTykwer,本·卫肖BenWhishaw,2006,德国法国西班牙美国比利时,剧情犯罪奇幻,8.5,4.0,538313,一个单凭体香达到高潮的男人。
穿越时空的少女,時をかける少女,https://movie.douban.com/subject/1937946/,细田守MamoruHosoda,仲里依纱RiisaNaka,2006,日本,剧情爱情科幻动画,8.6,4.0,377462,爱上未来的你。 
海洋,Océans,https://movie.douban.com/subject/3443389/,雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud,,2009,法国瑞士西班牙美国阿联酋摩纳哥,纪录片,9.1,4.5,155387,大海啊，不全是水。
