电影名字,别名,电影链接,导演,主演,年份,国家,类型,评分,星级,评价人数,评论
7号房的礼物,7번방의 선물,https://movie.douban.com/subject/10777687/,李焕庆Hwan-kyeongLee,柳承龙Seung-yongRyoo,2013,韩国,剧情喜剧家庭,8.9,4.0,550538,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生,嫌われ松子の一生,https://movie.douban.com/subject/1787291/,中岛哲也TetsuyaNakashima,中谷美纪MikiNakatani,2006,日本,剧情歌舞,8.9,4.0,696395,以戏谑来戏谑戏谑。
唐伯虎点秋香,唐伯虎點秋香,https://movie.douban.com/subject/1306249/,李力持Lik-ChiLee,周星驰StephenChow,1993,中国香港,喜剧爱情古装,8.7,4.0,1064217,华太师是黄霑，吴镇宇四大才子之一。
请以你的名字呼唤我,Call Me by Your Name,https://movie.douban.com/subject/26799731/,卢卡·瓜达尼诺LucaGuadagnino,艾米·汉莫ArmieHammer,2017,意大利法国巴西美国,剧情爱情同性,8.9,4.0,711902,沉醉在电影的情感和视听氛围中无法自拔。
断背山,Brokeback Mountain,https://movie.douban.com/subject/1418834/,李安AngLee,希斯·莱杰HeathLedger,2005,美国加拿大,剧情爱情同性家庭,8.8,4.0,700122,每个人心中都有一座断背山。
剪刀手爱德华,Edward Scissorhands,https://movie.douban.com/subject/1292370/,蒂姆·波顿TimBurton,约翰尼·德普JohnnyDepp,1990,美国,剧情奇幻爱情,8.7,4.0,1024518,浪漫忧郁的成人童话。
入殓师,おくりびと,https://movie.douban.com/subject/2149806/,泷田洋二郎YôjirôTakita,本木雅弘MasahiroMotoki,2008,日本,剧情,8.9,4.0,656709,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
爱在黎明破晓前,Before Sunrise,https://movie.douban.com/subject/1296339/,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,1995,美国奥地利瑞士,剧情爱情,8.8,4.0,672050,缘分是个连绵词，最美不过一瞬。
勇敢的心,Braveheart,https://movie.douban.com/subject/1294639/,梅尔·吉布森MelGibson,梅尔·吉布森MelGibson,1995,美国,动作传记剧情历史战争,8.9,4.0,554376,史诗大片的典范。
第六感,The Sixth Sense,https://movie.douban.com/subject/1297630/,M·奈特·沙马兰M.NightShyamalan,布鲁斯·威利斯BruceWi,1999,美国,剧情悬疑惊悚,8.9,4.0,548705,深入内心的恐怖，出人意料的结局。
重庆森林,重慶森林,https://movie.douban.com/subject/1291999/,王家卫KarWaiWong,林青霞BrigitteLin,1994,中国香港,剧情爱情,8.8,4.0,799722,寂寞没有期限。
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,https://movie.douban.com/subject/3395373/,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2012,美国英国,剧情动作科幻犯罪惊悚,8.8,4.0,709293,诺兰就是保证。
幽灵公主,もののけ姫,https://movie.douban.com/subject/1297359/,宫崎骏HayaoMiyazaki,松田洋治YôjiMatsuda,1997,日本,动画奇幻冒险,8.9,4.0,516803,人与自然的战争史诗。
超能陆战队,Big Hero 6,https://movie.douban.com/subject/11026735/,唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams,斯科特,2014,美国,喜剧动作科幻动画冒险,8.7,4.0,997790,Balalala~~~
爱在日落黄昏时,Before Sunset,https://movie.douban.com/subject/1291990/,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2004,美国法国,剧情爱情,8.9,4.0,551425,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,菊次郎の夏,https://movie.douban.com/subject/1293359/,北野武TakeshiKitano,北野武TakeshiKitano,1999,日本,剧情喜剧,8.9,4.0,587770,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
甜蜜蜜,Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/,陈可辛PeterChan,黎明LeonLai,1996,中国香港,剧情爱情,8.9,4.0,542788,相逢只要一瞬间，等待却像是一辈子。
天使爱美丽,Le fabuleux destin d'Amélie Poulain,https://movie.douban.com/subject/1292215/,让-皮埃尔·热内Jean-PierreJeunet,奥黛丽·塔图AudreyTau,2001,法国德国,剧情喜剧爱情,8.7,4.0,948376,法式小清新。 
阳光灿烂的日子,In the Heat of the Sun,https://movie.douban.com/subject/1291875/,姜文WenJiang,夏雨YuXia,1994,中国大陆中国香港,剧情爱情,8.9,4.0,607299,一场华丽的意淫。
小森林 夏秋篇,リトル・フォレスト 夏・秋,https://movie.douban.com/subject/25814705/,森淳一JunichiMori,桥本爱AiHashimoto,2014,日本,剧情,9.0,4.5,420643,那些静得只能听见呼吸的日子里，你明白孤独即生活。
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,https://movie.douban.com/subject/4202302/,米林宏昌HiromasaYonebayashi,志田未来MiraiShida,2010,日本,动画奇幻冒险,8.9,4.0,545425,曾经的那段美好会沉淀为一辈子的记忆。
完美的世界,A Perfect World,https://movie.douban.com/subject/1300992/,克林特·伊斯特伍德ClintEastwood,凯文·科斯特纳KevinCos,1993,美国,剧情犯罪,9.1,4.5,310460,坏人的好总是比好人的好来得更感人。
无人知晓,誰も知らない,https://movie.douban.com/subject/1292337/,是枝裕和HirokazuKoreeda,柳乐优弥YûyaYagira,2004,日本,剧情,9.1,4.5,314403,我的平常生活就是他人的幸福。
消失的爱人,Gone Girl,https://movie.douban.com/subject/21318488/,大卫·芬奇DavidFincher,本·阿弗莱克BenAffleck,2014,美国,剧情犯罪悬疑惊悚,8.7,4.0,921094,年度最佳date movie。
倩女幽魂,倩女幽魂(87版),https://movie.douban.com/subject/1297447/,程小东Siu-TungChing,张国荣LeslieCheung,1987,中国香港,爱情奇幻武侠古装,8.8,4.0,728103,两张绝世的脸。 
寄生虫,기생충,https://movie.douban.com/subject/27010768/,奉俊昊Joon-hoBong,宋康昊Kang-hoSong,2019,韩国,剧情,8.8,4.0,1351749,无
时空恋旅人,About Time,https://movie.douban.com/subject/10577869/,理查德·柯蒂斯RichardCurtis,多姆纳尔·格里森DomhnallGl,2013,英国,喜剧爱情奇幻,8.8,4.0,657062,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
